Observation,Cooks_Distance
0,1.37128908223565e-07
1,0.001923613968837298
2,0.00018522683031631538
3,0.0024720263948281524
4,0.00018620467179354222
5,0.0002905325192606871
6,0.002855832747500343
7,0.0004109994832707623
8,1.635519941373964e-07
9,0.0008664672962922076
10,0.0024941894741548386
11,0.0004146767371191988
12,0.0016567153199559064
13,4.627009234716879e-06
14,0.0002000690293000046
15,6.152530451199478e-05
16,0.006719217545590385
17,0.0007614679172288101
18,0.000401611037179027
19,0.000543857331371575
20,0.00025584377724952815
21,5.326459301468942e-08
22,0.00189134816068255
23,0.00028453719303472223
24,0.005040674615484009
25,0.0002039367144360373
26,5.712726595495903e-06
27,1.8339395820295867e-05
28,5.941492059615741e-05
29,0.006514829385245509
30,1.0332491857512523e-06
31,0.0009110990149149253
32,0.004526058394521197
33,0.00024591427852821565
34,0.0061505208856215115
35,0.00011624936746816869
36,0.0001328912387131891
37,0.0017322899095768608
38,0.0016661770064709438
39,0.00011284029605132336
40,0.002114887460342183
41,0.004823982791901405
42,0.0007583682184165664
43,6.632506210519263e-07
44,0.000512891816690836
45,0.0022299534624635395
46,0.0012875328320258953
47,3.584446142543366e-05
48,0.0002772230421290325
49,0.00418115526647092
50,0.0025068652219137405
51,0.0005716974409969071
52,8.17365302266059e-05
53,0.0009081803087954228
54,0.001991648376641712
55,0.00675400847605042
56,0.00045324923320855985
57,0.00013660720228674024
58,0.00048565748421715396
59,5.9414574980945564e-05
60,7.927125416043741e-05
61,0.0006089471717736952
62,0.00014668773314982706
63,0.0041096662636521345
64,7.428526711960168e-07
65,0.001240473058718901
66,0.0001398046156748205
67,0.000592307800325683
68,0.0004035200957999442
69,0.0036867072899566455
70,3.0871647022796517e-06
71,0.0009306085493172109
72,0.0006316916275678347
73,0.0001665399552610801
74,0.0025427281362436034
75,8.234447673096567e-05
76,0.002034146648658338
77,0.0009072295986244828
78,0.0006872250716284841
79,0.0001867000024253134
80,0.0004234898053144771
81,0.0008760143443763344
82,0.001287195798506537
83,0.0020958197674030596
84,0.0011284234471219227
85,1.6081916836335226e-05
86,0.0006171505043191779
87,8.08696356235568e-06
88,3.4474670703995905e-05
89,0.0005024007279184558
90,0.0014974554792717598
91,0.0004899620195251624
92,0.0018142344092034403
93,8.189255551256365e-05
94,0.0006396781477503954
95,0.0024710737350975053
96,0.00027940676273265313
97,7.677108087893651e-05
98,0.0012306985100807106
99,0.0004416281254413527
100,1.2418070451251764e-06
101,0.0012743523989340532
102,0.0012057966540303929
103,0.0010038091207570194
104,0.0008204194788027335
105,0.0008528730342679761
106,0.005387350673467295
107,0.0031309203666086494
108,0.002200929600452396
109,0.002886191267677396
110,8.940131018182256e-08
111,0.0006072428123568357
112,0.0030256604583307175
113,0.002361050733775481
114,3.989748137581737e-05
115,1.0557347617959388e-05
116,0.0037331227585912946
117,0.00019934978699439704
118,0.00022329928782421687
119,0.00430356516905017
120,0.00015078930063076092
121,0.00022537507605971925
122,0.0003422365754167436
123,1.185380170045877e-06
124,0.000496210156280968
125,0.00027506931468766576
126,0.00016819373336579438
127,0.0005705197319833156
128,3.3483865874409714e-06
129,0.0004757322056755418
130,0.00015536551373367523
131,0.002999849131866221
132,0.005887933854211288
133,0.000737793337839048
134,0.0005798777652410218
135,0.0003547306551928321
136,0.0003758642116514016
