Year,Region,Round,Game,Team_A_Seed,Team_A,Team_A_Score,Team_B_Seed,Team_B,Team_B_Score,Winner,Location
2006,Oakland,2,3,6,Indiana,80,3,Gonzaga,90,0.0,"at Salt Lake City, UT"
2006,Oakland,2,4,10,Alabama,59,2,UCLA,62,0.0,"at San Diego, CA"
2006,Oakland,3,1,1,Memphis,80,13,Bradley,64,1.0,"at Oakland, CA"
2006,Oakland,3,2,3,Gonzaga,71,2,UCLA,73,0.0,"at Oakland, CA"
2006,Oakland,4,1,1,Memphis,45,2,UCLA,50,0.0,"at Oakland, CA"
2006,Washington,1,1,1,UConn,72,16,Albany (NY),59,1.0,"at Philadelphia, PA"
2006,Washington,1,2,8,Kentucky,69,9,UAB,64,1.0,"at Philadelphia, PA"
2006,Washington,1,3,5,Washington,75,12,Utah State,61,1.0,"at San Diego, CA"
2006,Washington,1,4,4,Illinois,78,13,Air Force,69,1.0,"at San Diego, CA"
2006,Washington,1,5,6,Michigan State,65,11,George Mason,75,0.0,"at Dayton, OH"
2006,Washington,1,6,3,UNC,69,14,Murray State,65,1.0,"at Dayton, OH"
2006,Washington,1,7,7,Wichita State,86,10,Seton Hall,66,1.0,"at Greensboro, NC"
2006,Washington,1,8,2,Tennessee,63,15,Winthrop,61,1.0,"at Greensboro, NC"
2006,Washington,2,1,1,UConn,87,8,Kentucky,83,1.0,"at Philadelphia, PA"
2006,Washington,2,2,5,Washington,67,4,Illinois,64,1.0,"at San Diego, CA"
2006,Washington,2,3,11,George Mason,65,3,UNC,60,1.0,"at Dayton, OH"
2006,Washington,2,4,7,Wichita State,80,2,Tennessee,73,1.0,"at Greensboro, NC"
2006,Washington,3,1,1,UConn,98,5,Washington,92,1.0,"at Washington, DC"
2006,Washington,3,2,11,George Mason,63,7,Wichita State,55,1.0,"at Washington, DC"
2006,Washington,4,1,1,UConn,84,11,George Mason,86,0.0,"at Washington, DC"
2006,National,1,1,3,Florida,73,11,George Mason,58,1.0,"at Indianapolis, IN"
2006,National,1,2,4,LSU,45,2,UCLA,59,0.0,"at Indianapolis, IN"
2006,National,2,1,3,Florida,73,2,UCLA,57,1.0,"at Indianapolis, IN"
2007,East,1,1,1,UNC,86,16,Eastern Kentucky,65,1.0,"at Winston-Salem, NC"
2007,East,1,2,8,Marquette,49,9,Michigan State,61,0.0,"at Winston-Salem, NC"
2007,East,1,3,5,USC,77,12,Arkansas,60,1.0,"at Spokane, WA"
2007,East,1,4,4,Texas,79,13,New Mexico State,67,1.0,"at Spokane, WA"
2007,East,1,5,6,Vanderbilt,77,11,George Washington,44,1.0,"at Sacramento, CA"
2007,East,1,6,3,Washington State,70,14,Oral Roberts,54,1.0,"at Sacramento, CA"
2007,East,1,7,7,Boston College,84,10,Texas Tech,75,1.0,"at Winston-Salem, NC"
2007,East,1,8,2,Georgetown,80,15,Belmont,55,1.0,"at Winston-Salem, NC"
2007,East,2,1,1,UNC,81,9,Michigan State,67,1.0,"at Winston-Salem, NC"
2007,East,2,2,5,USC,87,4,Texas,68,1.0,"at Spokane, WA"
2007,East,2,3,6,Vanderbilt,78,3,Washington State,74,1.0,"at Sacramento, CA"
2007,East,2,4,7,Boston College,55,2,Georgetown,62,0.0,"at Winston-Salem, NC"
2007,East,3,1,1,UNC,74,5,USC,64,1.0,"at East Rutherford, NJ"
2007,East,3,2,6,Vanderbilt,65,2,Georgetown,66,0.0,"at East Rutherford, NJ"
2007,East,4,1,1,UNC,84,2,Georgetown,96,0.0,"at East Rutherford, NJ"
2007,Midwest,1,1,1,Florida,112,16,Jackson State,69,1.0,"at New Orleans, LA"
2007,Midwest,1,2,8,Arizona,63,9,Purdue,72,0.0,"at New Orleans, LA"
2007,Midwest,1,3,5,Butler,57,12,Old Dominion,46,1.0,"at Buffalo, NY"
2007,Midwest,1,4,4,Maryland,82,13,Davidson,70,1.0,"at Buffalo, NY"
2007,Midwest,1,5,6,Notre Dame,64,11,Winthrop,74,0.0,"at Spokane, WA"
2007,Midwest,1,6,3,Oregon,58,14,Miami (OH),56,1.0,"at Spokane, WA"
2007,Midwest,1,7,7,UNLV,67,10,Georgia Tech,63,1.0,"at Chicago, IL"
2007,Midwest,1,8,2,Wisconsin,76,15,Texas A&M-Corpus Christi,63,1.0,"at Chicago, IL"
2007,Midwest,2,1,1,Florida,74,9,Purdue,67,1.0,"at New Orleans, LA"
2007,Midwest,2,2,5,Butler,62,4,Maryland,59,1.0,"at Buffalo, NY"
2007,Midwest,2,3,11,Winthrop,61,3,Oregon,75,0.0,"at Spokane, WA"
2007,Midwest,2,4,7,UNLV,74,2,Wisconsin,68,1.0,"at Chicago, IL"
2007,Midwest,3,1,1,Florida,65,5,Butler,57,1.0,"at St. Louis, MO"
2007,Midwest,3,2,3,Oregon,76,7,UNLV,72,1.0,"at St. Louis, MO"
2007,Midwest,4,1,1,Florida,85,3,Oregon,77,1.0,"at St. Louis, MO"
2007,South,1,1,1,Ohio State,78,16,Central Connecticut,57,1.0,"at Lexington, KY"
2007,South,1,2,8,BYU,77,9,Xavier,79,0.0,"at Lexington, KY"
2007,South,1,3,5,Tennessee,121,12,Long Beach State,86,1.0,"at Columbus, OH"
2007,South,1,4,4,Virginia,84,13,Albany (NY),57,1.0,"at Columbus, OH"
2007,South,1,5,6,Louisville,78,11,Stanford,58,1.0,"at Lexington, KY"
2007,South,1,6,3,Texas A&M,68,14,Penn,52,1.0,"at Lexington, KY"
2007,South,1,7,7,Nevada,77,10,Creighton,71,1.0,"at New Orleans, LA"
2007,South,1,8,2,Memphis,73,15,North Texas,58,1.0,"at New Orleans, LA"
2007,South,2,1,1,Ohio State,78,9,Xavier,71,1.0,"at Lexington, KY"
2007,South,2,2,5,Tennessee,77,4,Virginia,74,1.0,"at Columbus, OH"
2007,South,2,3,6,Louisville,69,3,Texas A&M,72,0.0,"at Lexington, KY"
2007,South,2,4,7,Nevada,62,2,Memphis,78,0.0,"at New Orleans, LA"
2007,South,3,1,1,Ohio State,85,5,Tennessee,84,1.0,"at San Antonio, TX"
2007,South,3,2,3,Texas A&M,64,2,Memphis,65,0.0,"at San Antonio, TX"
2007,South,4,1,1,Ohio State,92,2,Memphis,76,1.0,"at San Antonio, TX"
2007,West,1,1,1,Kansas,107,16,Niagara,67,1.0,"at Chicago, IL"
2007,West,1,2,8,Kentucky,67,9,Villanova,58,1.0,"at Chicago, IL"
2007,West,1,3,5,Virginia Tech,54,12,Illinois,52,1.0,"at Columbus, OH"
2007,West,1,4,4,Southern Illinois,61,13,Holy Cross,51,1.0,"at Columbus, OH"
2007,West,1,5,6,Duke,77,11,VCU,79,0.0,"at Buffalo, NY"
2007,West,1,6,3,Pitt,79,14,Wright State,58,1.0,"at Buffalo, NY"
2007,West,1,7,7,Indiana,70,10,Gonzaga,57,1.0,"at Sacramento, CA"
2007,West,1,8,2,UCLA,70,15,Weber State,42,1.0,"at Sacramento, CA"
2007,West,2,1,1,Kansas,88,8,Kentucky,76,1.0,"at Chicago, IL"
2007,West,2,2,5,Virginia Tech,48,4,Southern Illinois,63,0.0,"at Columbus, OH"
2007,West,2,3,11,VCU,79,3,Pitt,84,0.0,"at Buffalo, NY"
2007,West,2,4,7,Indiana,49,2,UCLA,54,0.0,"at Sacramento, CA"
2007,West,3,1,1,Kansas,61,4,Southern Illinois,58,1.0,"at San Jose, CA"
2007,West,3,2,3,Pitt,55,2,UCLA,64,0.0,"at San Jose, CA"
2007,West,4,1,1,Kansas,55,2,UCLA,68,0.0,"at San Jose, CA"
2007,National,1,1,1,Florida,76,2,UCLA,66,1.0,"at Atlanta, GA"
2007,National,1,2,2,Georgetown,60,1,Ohio State,67,0.0,"at Atlanta, GA"
2007,National,2,1,1,Florida,84,1,Ohio State,75,1.0,"at Atlanta, GA"
2008,East,1,1,1,UNC,113,16,Mount St. Mary's,74,1.0,"at Raleigh, NC"
2008,East,1,2,8,Indiana,72,9,Arkansas,86,0.0,"at Raleigh, NC"
2008,East,1,3,5,Notre Dame,68,12,George Mason,50,1.0,"at Denver, CO"
2008,East,1,4,4,Washington State,71,13,Winthrop,40,1.0,"at Denver, CO"
2008,East,1,5,6,Oklahoma,72,11,St. Joseph's,64,1.0,"at Birmingham, AL"
2008,East,1,6,3,Louisville,79,14,Boise State,61,1.0,"at Birmingham, AL"
2008,East,1,7,7,Butler,81,10,South Alabama,61,1.0,"at Birmingham, AL"
2008,East,1,8,2,Tennessee,72,15,American,57,1.0,"at Birmingham, AL"
2008,East,2,1,1,UNC,108,9,Arkansas,77,1.0,"at Raleigh, NC"
2008,East,2,2,5,Notre Dame,41,4,Washington State,61,0.0,"at Denver, CO"
2008,East,2,3,6,Oklahoma,48,3,Louisville,78,0.0,"at Birmingham, AL"
2008,East,2,4,7,Butler,71,2,Tennessee,76,0.0,"at Birmingham, AL"
2008,East,3,1,1,UNC,68,4,Washington State,47,1.0,"at Charlotte, NC"
2008,East,3,2,3,Louisville,79,2,Tennessee,60,1.0,"at Charlotte, NC"
2008,East,4,1,1,UNC,83,3,Louisville,73,1.0,"at Charlotte, NC"
2008,Midwest,1,1,1,Kansas,85,16,Portland State,61,1.0,"at Omaha, NE"
2008,Midwest,1,2,8,UNLV,71,9,Kent State,58,1.0,"at Omaha, NE"
2008,Midwest,1,3,5,Clemson,69,12,Villanova,75,0.0,"at Tampa, FL"
2008,Midwest,1,4,4,Vanderbilt,62,13,Siena,83,0.0,"at Tampa, FL"
2008,Midwest,1,5,6,USC,67,11,Kansas State,80,0.0,"at Omaha, NE"
2008,Midwest,1,6,3,Wisconsin,71,14,Cal State Fullerton,56,1.0,"at Omaha, NE"
2008,Midwest,1,7,7,Gonzaga,76,10,Davidson,82,0.0,"at Raleigh, NC"
2008,Midwest,1,8,2,Georgetown,66,15,UMBC,47,1.0,"at Raleigh, NC"
2008,Midwest,2,1,1,Kansas,75,8,UNLV,56,1.0,"at Omaha, NE"
2008,Midwest,2,2,12,Villanova,84,13,Siena,72,1.0,"at Tampa, FL"
2008,Midwest,2,3,11,Kansas State,55,3,Wisconsin,72,0.0,"at Omaha, NE"
2008,Midwest,2,4,10,Davidson,74,2,Georgetown,70,1.0,"at Raleigh, NC"
2008,Midwest,3,1,1,Kansas,72,12,Villanova,57,1.0,"at Detroit, MI"
2008,Midwest,3,2,3,Wisconsin,56,10,Davidson,73,0.0,"at Detroit, MI"
2008,Midwest,4,1,1,Kansas,59,10,Davidson,57,1.0,"at Detroit, MI"
2008,South,1,1,1,Memphis,87,16,UT Arlington,63,1.0,"at North Little Rock, AR"
2008,South,1,2,8,Mississippi State,76,9,Oregon,69,1.0,"at North Little Rock, AR"
2008,South,1,3,5,Michigan State,72,12,Temple,61,1.0,"at Denver, CO"
2008,South,1,4,4,Pitt,82,13,Oral Roberts,63,1.0,"at Denver, CO"
2008,South,1,5,6,Marquette,74,11,Kentucky,66,1.0,"at Anaheim, CA"
2008,South,1,6,3,Stanford,77,14,Cornell,53,1.0,"at Anaheim, CA"
2008,South,1,7,7,Miami (FL),78,10,Saint Mary's,64,1.0,"at North Little Rock, AR"
2008,South,1,8,2,Texas,74,15,Austin Peay,54,1.0,"at North Little Rock, AR"
2008,South,2,1,1,Memphis,77,8,Mississippi State,74,1.0,"at North Little Rock, AR"
2008,South,2,2,5,Michigan State,65,4,Pitt,54,1.0,"at Denver, CO"
2008,South,2,3,6,Marquette,81,3,Stanford,82,0.0,"at Anaheim, CA"
2008,South,2,4,7,Miami (FL),72,2,Texas,75,0.0,"at North Little Rock, AR"
2008,South,3,1,1,Memphis,92,5,Michigan State,74,1.0,"at Houston, TX"
2008,South,3,2,3,Stanford,62,2,Texas,82,0.0,"at Houston, TX"
2008,South,4,1,1,Memphis,85,2,Texas,67,1.0,"at Houston, TX"
2008,West,1,1,1,UCLA,70,16,Mississippi Valley State,29,1.0,"at Anaheim, CA"
2008,West,1,2,8,BYU,62,9,Texas A&M,67,0.0,"at Anaheim, CA"
2008,West,1,3,5,Drake,99,12,Western Kentucky,101,0.0,"at Tampa, FL"
2008,West,1,4,4,UConn,69,13,San Diego,70,0.0,"at Tampa, FL"
2008,West,1,5,6,Purdue,90,11,Baylor,79,1.0,"at Washington, DC"
2008,West,1,6,3,Xavier,73,14,Georgia,61,1.0,"at Washington, DC"
2008,West,1,7,7,West Virginia,75,10,Arizona,65,1.0,"at Washington, DC"
2008,West,1,8,2,Duke,71,15,Belmont,70,1.0,"at Washington, DC"
2008,West,2,1,1,UCLA,51,9,Texas A&M,49,1.0,"at Anaheim, CA"
2008,West,2,2,12,Western Kentucky,72,13,San Diego,63,1.0,"at Tampa, FL"
2008,West,2,3,6,Purdue,78,3,Xavier,85,0.0,"at Washington, DC"
2008,West,2,4,7,West Virginia,73,2,Duke,67,1.0,"at Washington, DC"
2008,West,3,1,1,UCLA,88,12,Western Kentucky,78,1.0,"at Phoenix, AZ"
2008,West,3,2,3,Xavier,79,7,West Virginia,75,1.0,"at Phoenix, AZ"
2008,West,4,1,1,UCLA,76,3,Xavier,57,1.0,"at Phoenix, AZ"
2008,National,1,1,1,Kansas,84,1,UNC,66,1.0,"at San Antonio, TX"
2008,National,1,2,1,UCLA,63,1,Memphis,78,0.0,"at San Antonio, TX"
2008,National,2,1,1,Kansas,75,1,Memphis,68,1.0,"at San Antonio, TX"
2009,East,1,1,1,Pitt,72,16,ETSU,62,1.0,"at Dayton, OH"
2009,East,1,2,8,Oklahoma State,77,9,Tennessee,75,1.0,"at Dayton, OH"
2009,East,1,3,5,Florida State,59,12,Wisconsin,61,0.0,"at Boise, ID"
2009,East,1,4,4,Xavier,77,13,Portland State,59,1.0,"at Boise, ID"
2009,East,1,5,6,UCLA,65,11,VCU,64,1.0,"at Philadelphia, PA"
2009,East,1,6,3,Villanova,80,14,American,67,1.0,"at Philadelphia, PA"
2009,East,1,7,7,Texas,76,10,Minnesota,62,1.0,"at Greensboro, NC"
2009,East,1,8,2,Duke,86,15,Binghamton,62,1.0,"at Greensboro, NC"
2009,East,2,1,1,Pitt,84,8,Oklahoma State,76,1.0,"at Dayton, OH"
2009,East,2,2,12,Wisconsin,49,4,Xavier,60,0.0,"at Boise, ID"
2009,East,2,3,6,UCLA,69,3,Villanova,89,0.0,"at Philadelphia, PA"
2009,East,2,4,7,Texas,69,2,Duke,74,0.0,"at Greensboro, NC"
2009,East,3,1,1,Pitt,60,4,Xavier,55,1.0,"at Boston, MA"
2009,East,3,2,3,Villanova,77,2,Duke,54,1.0,"at Boston, MA"
2009,East,4,1,1,Pitt,76,3,Villanova,78,0.0,"at Boston, MA"
2009,Midwest,1,1,1,Louisville,74,16,Morehead State,54,1.0,"at Dayton, OH"
2009,Midwest,1,2,8,Ohio State,72,9,Siena,74,0.0,"at Dayton, OH"
2009,Midwest,1,3,5,Utah,71,12,Arizona,84,0.0,"at Miami, FL"
2009,Midwest,1,4,4,Wake Forest,69,13,Cleveland State,84,0.0,"at Miami, FL"
2009,Midwest,1,5,6,West Virginia,60,11,Dayton,68,0.0,"at Minneapolis, MN"
2009,Midwest,1,6,3,Kansas,84,14,North Dakota State,74,1.0,"at Minneapolis, MN"
2009,Midwest,1,7,7,Boston College,55,10,USC,72,0.0,"at Minneapolis, MN"
2009,Midwest,1,8,2,Michigan State,77,15,Robert Morris,62,1.0,"at Minneapolis, MN"
2009,Midwest,2,1,1,Louisville,79,9,Siena,72,1.0,"at Dayton, OH"
2009,Midwest,2,2,12,Arizona,71,13,Cleveland State,57,1.0,"at Miami, FL"
2009,Midwest,2,3,11,Dayton,43,3,Kansas,60,0.0,"at Minneapolis, MN"
2009,Midwest,2,4,10,USC,69,2,Michigan State,74,0.0,"at Minneapolis, MN"
2009,Midwest,3,1,1,Louisville,103,12,Arizona,64,1.0,"at Indianapolis, IN"
2009,Midwest,3,2,3,Kansas,62,2,Michigan State,67,0.0,"at Indianapolis, IN"
2009,Midwest,4,1,1,Louisville,52,2,Michigan State,64,0.0,"at Indianapolis, IN"
2009,South,1,1,1,UNC,101,16,Radford,58,1.0,"at Greensboro, NC"
2009,South,1,2,8,LSU,75,9,Butler,71,1.0,"at Greensboro, NC"
2009,South,1,3,5,Illinois,72,12,Western Kentucky,76,0.0,"at Portland, OR"
2009,South,1,4,4,Gonzaga,77,13,Akron,64,1.0,"at Portland, OR"
2009,South,1,5,6,Arizona State,66,11,Temple,57,1.0,"at Miami, FL"
2009,South,1,6,3,Syracuse,59,14,Stephen F. Austin,44,1.0,"at Miami, FL"
2009,South,1,7,7,Clemson,59,10,Michigan,62,0.0,"at Kansas City, MO"
2009,South,1,8,2,Oklahoma,82,15,Morgan State,54,1.0,"at Kansas City, MO"
2009,South,2,1,1,UNC,84,8,LSU,70,1.0,"at Greensboro, NC"
2009,South,2,2,12,Western Kentucky,81,4,Gonzaga,83,0.0,"at Portland, OR"
2009,South,2,3,6,Arizona State,67,3,Syracuse,78,0.0,"at Miami, FL"
2009,South,2,4,10,Michigan,63,2,Oklahoma,73,0.0,"at Kansas City, MO"
2009,South,3,1,1,UNC,98,4,Gonzaga,77,1.0,"at Memphis, TN"
2009,South,3,2,3,Syracuse,71,2,Oklahoma,84,0.0,"at Memphis, TN"
2009,South,4,1,1,UNC,72,2,Oklahoma,60,1.0,"at Memphis, TN"
2009,West,1,1,1,UConn,103,16,Chattanooga,47,1.0,"at Philadelphia, PA"
2009,West,1,2,8,BYU,66,9,Texas A&M,79,0.0,"at Philadelphia, PA"
2009,West,1,3,5,Purdue,61,12,Northern Iowa,56,1.0,"at Portland, OR"
2009,West,1,4,4,Washington,71,13,Mississippi State,58,1.0,"at Portland, OR"
2009,West,1,5,6,Marquette,58,11,Utah State,57,1.0,"at Boise, ID"
2009,West,1,6,3,Missouri,78,14,Cornell,59,1.0,"at Boise, ID"
2009,West,1,7,7,California,71,10,Maryland,84,0.0,"at Kansas City, MO"
2009,West,1,8,2,Memphis,81,15,Cal State Northridge,70,1.0,"at Kansas City, MO"
2009,West,2,1,1,UConn,92,9,Texas A&M,66,1.0,"at Philadelphia, PA"
2009,West,2,2,5,Purdue,76,4,Washington,74,1.0,"at Portland, OR"
2009,West,2,3,6,Marquette,79,3,Missouri,83,0.0,"at Boise, ID"
2009,West,2,4,10,Maryland,70,2,Memphis,89,0.0,"at Kansas City, MO"
2009,West,3,1,1,UConn,72,5,Purdue,60,1.0,"at Glendale, AZ"
2009,West,3,2,3,Missouri,102,2,Memphis,91,1.0,"at Glendale, AZ"
2009,West,4,1,1,UConn,82,3,Missouri,75,1.0,"at Glendale, AZ"
2009,National,1,1,1,UNC,83,3,Villanova,69,1.0,"at Detroit, MI"
2009,National,1,2,1,UConn,73,2,Michigan State,82,0.0,"at Detroit, MI"
2009,National,2,1,1,UNC,89,2,Michigan State,72,1.0,"at Detroit, MI"
2010,East,1,1,1,Kentucky,100,16,ETSU,71,1.0,"at New Orleans, LA"
2010,East,1,2,8,Texas,80,9,Wake Forest,81,0.0,"at New Orleans, LA"
2010,East,1,3,5,Temple,65,12,Cornell,78,0.0,"at Jacksonville, FL"
2010,East,1,4,4,Wisconsin,53,13,Wofford,49,1.0,"at Jacksonville, FL"
2010,East,1,5,6,Marquette,78,11,Washington,80,0.0,"at San Jose, CA"
2010,East,1,6,3,New Mexico,62,14,Montana,57,1.0,"at San Jose, CA"
2010,East,1,7,7,Clemson,78,10,Missouri,86,0.0,"at Buffalo, NY"
2010,East,1,8,2,West Virginia,77,15,Morgan State,50,1.0,"at Buffalo, NY"
2010,East,2,1,1,Kentucky,90,9,Wake Forest,60,1.0,"at New Orleans, LA"
2010,East,2,2,12,Cornell,87,4,Wisconsin,69,1.0,"at Jacksonville, FL"
2010,East,2,3,11,Washington,82,3,New Mexico,64,1.0,"at San Jose, CA"
2010,East,2,4,10,Missouri,59,2,West Virginia,68,0.0,"at Buffalo, NY"
2010,East,3,1,1,Kentucky,62,12,Cornell,45,1.0,"at Syracuse, NY"
2010,East,3,2,11,Washington,56,2,West Virginia,69,0.0,"at Syracuse, NY"
2010,East,4,1,1,Kentucky,66,2,West Virginia,73,0.0,"at Syracuse, NY"
2010,Midwest,1,1,1,Kansas,90,16,Lehigh,74,1.0,"at Oklahoma City, OK"
2010,Midwest,1,2,8,UNLV,66,9,Northern Iowa,69,0.0,"at Oklahoma City, OK"
2010,Midwest,1,3,5,Michigan State,70,12,New Mexico State,67,1.0,"at Spokane, WA"
2010,Midwest,1,4,4,Maryland,89,13,Houston,77,1.0,"at Spokane, WA"
2010,Midwest,1,5,6,Tennessee,62,11,San Diego State,59,1.0,"at Providence, RI"
2010,Midwest,1,6,3,Georgetown,83,14,Ohio,97,0.0,"at Providence, RI"
2010,Midwest,1,7,7,Oklahoma State,59,10,Georgia Tech,64,0.0,"at Milwaukee, WI"
2010,Midwest,1,8,2,Ohio State,68,15,UCSB,51,1.0,"at Milwaukee, WI"
2010,Midwest,2,1,1,Kansas,67,9,Northern Iowa,69,0.0,"at Oklahoma City, OK"
2010,Midwest,2,2,5,Michigan State,85,4,Maryland,83,1.0,"at Spokane, WA"
2010,Midwest,2,3,6,Tennessee,83,14,Ohio,68,1.0,"at Providence, RI"
2010,Midwest,2,4,10,Georgia Tech,66,2,Ohio State,75,0.0,"at Milwaukee, WI"
2010,Midwest,3,1,9,Northern Iowa,52,5,Michigan State,59,0.0,"at St. Louis, MO"
2010,Midwest,3,2,6,Tennessee,76,2,Ohio State,73,1.0,"at St. Louis, MO"
2010,Midwest,4,1,5,Michigan State,70,6,Tennessee,69,1.0,"at St. Louis, MO"
2010,South,1,1,1,Duke,73,16,Arkansas-Pine Bluff,44,1.0,"at Jacksonville, FL"
2010,South,1,2,8,California,77,9,Louisville,62,1.0,"at Jacksonville, FL"
2010,South,1,3,5,Texas A&M,69,12,Utah State,53,1.0,"at Spokane, WA"
2010,South,1,4,4,Purdue,72,13,Siena,64,1.0,"at Spokane, WA"
2010,South,1,5,6,Notre Dame,50,11,Old Dominion,51,0.0,"at New Orleans, LA"
2010,South,1,6,3,Baylor,68,14,Sam Houston,59,1.0,"at New Orleans, LA"
2010,South,1,7,7,Richmond,71,10,Saint Mary's,80,0.0,"at Providence, RI"
2010,South,1,8,2,Villanova,73,15,Robert Morris,70,1.0,"at Providence, RI"
2010,South,2,1,1,Duke,68,8,California,53,1.0,"at Jacksonville, FL"
2010,South,2,2,5,Texas A&M,61,4,Purdue,63,0.0,"at Spokane, WA"
2010,South,2,3,11,Old Dominion,68,3,Baylor,76,0.0,"at New Orleans, LA"
2010,South,2,4,10,Saint Mary's,75,2,Villanova,68,1.0,"at Providence, RI"
2010,South,3,1,1,Duke,70,4,Purdue,57,1.0,"at Houston, TX"
2010,South,3,2,3,Baylor,72,10,Saint Mary's,49,1.0,"at Houston, TX"
2010,South,4,1,1,Duke,78,3,Baylor,71,1.0,"at Houston, TX"
2010,West,1,1,1,Syracuse,79,16,Vermont,56,1.0,"at Buffalo, NY"
2010,West,1,2,8,Gonzaga,67,9,Florida State,60,1.0,"at Buffalo, NY"
2010,West,1,3,5,Butler,77,12,UTEP,59,1.0,"at San Jose, CA"
2010,West,1,4,4,Vanderbilt,65,13,Murray State,66,0.0,"at San Jose, CA"
2010,West,1,5,6,Xavier,65,11,Minnesota,54,1.0,"at Milwaukee, WI"
2010,West,1,6,3,Pitt,89,14,Oakland,66,1.0,"at Milwaukee, WI"
2010,West,1,7,7,BYU,99,10,Florida,92,1.0,"at Oklahoma City, OK"
2010,West,1,8,2,Kansas State,82,15,North Texas,62,1.0,"at Oklahoma City, OK"
2010,West,2,1,1,Syracuse,87,8,Gonzaga,65,1.0,"at Buffalo, NY"
2010,West,2,2,5,Butler,54,13,Murray State,52,1.0,"at San Jose, CA"
2010,West,2,3,6,Xavier,71,3,Pitt,68,1.0,"at Milwaukee, WI"
2010,West,2,4,7,BYU,72,2,Kansas State,84,0.0,"at Oklahoma City, OK"
2010,West,3,1,1,Syracuse,59,5,Butler,63,0.0,"at Salt Lake City, UT"
2010,West,3,2,6,Xavier,96,2,Kansas State,101,0.0,"at Salt Lake City, UT"
2010,West,4,1,5,Butler,63,2,Kansas State,56,1.0,"at Salt Lake City, UT"
2010,National,1,1,1,Duke,78,2,West Virginia,57,1.0,"at Indianapolis, IN"
2010,National,1,2,5,Michigan State,50,5,Butler,52,0.0,"at Indianapolis, IN"
2010,National,2,1,1,Duke,61,5,Butler,59,1.0,"at Indianapolis, IN"
2011,East,1,1,1,Ohio State,75,16,UTSA,46,1.0,"at Cleveland, OH"
2011,East,1,2,8,George Mason,61,9,Villanova,57,1.0,"at Cleveland, OH"
2011,East,1,3,5,West Virginia,84,12,Clemson,76,1.0,"at Tampa, FL"
2011,East,1,4,4,Kentucky,59,13,Princeton,57,1.0,"at Tampa, FL"
2011,East,1,5,6,Xavier,55,11,Marquette,66,0.0,"at Cleveland, OH"
2011,East,1,6,3,Syracuse,77,14,Indiana State,60,1.0,"at Cleveland, OH"
2011,East,1,7,7,Washington,68,10,Georgia,65,1.0,"at Charlotte, NC"
2011,East,1,8,2,UNC,102,15,LIU,87,1.0,"at Charlotte, NC"
2011,East,2,1,1,Ohio State,98,8,George Mason,66,1.0,"at Cleveland, OH"
2011,East,2,2,5,West Virginia,63,4,Kentucky,71,0.0,"at Tampa, FL"
2011,East,2,3,11,Marquette,66,3,Syracuse,62,1.0,"at Cleveland, OH"
2011,East,2,4,7,Washington,83,2,UNC,86,0.0,"at Charlotte, NC"
2011,East,3,1,1,Ohio State,60,4,Kentucky,62,0.0,"at Newark, NJ"
2011,East,3,2,11,Marquette,63,2,UNC,81,0.0,"at Newark, NJ"
2011,East,4,1,4,Kentucky,76,2,UNC,69,1.0,"at Newark, NJ"
2011,Southeast,1,1,1,Pitt,74,16,UNC Asheville,51,1.0,"at Washington, DC"
2011,Southeast,1,2,8,Butler,60,9,Old Dominion,58,1.0,"at Washington, DC"
2011,Southeast,1,3,5,Kansas State,73,12,Utah State,68,1.0,"at Tucson, AZ"
2011,Southeast,1,4,4,Wisconsin,72,13,Belmont,58,1.0,"at Tucson, AZ"
2011,Southeast,1,5,6,St. John's (NY),71,11,Gonzaga,86,0.0,"at Denver, CO"
2011,Southeast,1,6,3,BYU,74,14,Wofford,66,1.0,"at Denver, CO"
2011,Southeast,1,7,7,UCLA,78,10,Michigan State,76,1.0,"at Tampa, FL"
2011,Southeast,1,8,2,Florida,79,15,UCSB,51,1.0,"at Tampa, FL"
2011,Southeast,2,1,1,Pitt,70,8,Butler,71,0.0,"at Washington, DC"
2011,Southeast,2,2,5,Kansas State,65,4,Wisconsin,70,0.0,"at Tucson, AZ"
2011,Southeast,2,3,11,Gonzaga,67,3,BYU,89,0.0,"at Denver, CO"
2011,Southeast,2,4,7,UCLA,65,2,Florida,73,0.0,"at Tampa, FL"
2011,Southeast,3,1,8,Butler,61,4,Wisconsin,54,1.0,"at New Orleans, LA"
2011,Southeast,3,2,3,BYU,74,2,Florida,83,0.0,"at New Orleans, LA"
2011,Southeast,4,1,8,Butler,74,2,Florida,71,1.0,"at New Orleans, LA"
2011,Southwest,1,1,1,Kansas,72,16,Boston University,53,1.0,"at Tulsa, OK"
2011,Southwest,1,2,8,UNLV,62,9,Illinois,73,0.0,"at Tulsa, OK"
2011,Southwest,1,3,5,Vanderbilt,66,12,Richmond,69,0.0,"at Denver, CO"
2011,Southwest,1,4,4,Louisville,61,13,Morehead State,62,0.0,"at Denver, CO"
2011,Southwest,1,5,6,Georgetown,56,11,VCU,74,0.0,"at Chicago, IL"
2011,Southwest,1,6,3,Purdue,65,14,St. Peter's,43,1.0,"at Chicago, IL"
2011,Southwest,1,7,7,Texas A&M,50,10,Florida State,57,0.0,"at Chicago, IL"
2011,Southwest,1,8,2,Notre Dame,69,15,Akron,56,1.0,"at Chicago, IL"
